period,series,region,index_value,indexed_to_2012_base,raw_value,unit,source_tier,source_url,source_retrieved_at
2013-S1,"Average weekly total earnings, all employees",Australia,,104.9,1105,AUD per week,primary,"https://data.api.abs.gov.au/rest/data/ABS,AWE,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2013-S2,"Average weekly total earnings, all employees",Australia,,105.8,1114.2,AUD per week,primary,"https://data.api.abs.gov.au/rest/data/ABS,AWE,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2014-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),113.7,112.8,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2014-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),114.2,113.3,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2014-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),114.4,113.5,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2014-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),115.5,114.6,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2014-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),116.4,115.5,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2014-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),116.8,115.9,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2014-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),116.1,115.2,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2014-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),117.8,116.9,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2014-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),118.4,117.5,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2014-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),118.3,117.4,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2014-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),120.2,119.2,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2014-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),120.9,119.9,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2014-S1,"Average weekly total earnings, all employees",Australia,,106.6,1123,AUD per week,primary,"https://data.api.abs.gov.au/rest/data/ABS,AWE,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2014-S2,"Average weekly total earnings, all employees",Australia,,107.2,1128.7,AUD per week,primary,"https://data.api.abs.gov.au/rest/data/ABS,AWE,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2015-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),119.3,118.4,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2015-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),122.1,121.1,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2015-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),123,122,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2015-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),124.2,123.2,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2015-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),127.8,126.8,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2015-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),129.1,128.1,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2015-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),126.2,125.2,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2015-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),130.4,129.4,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2015-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),131.9,130.9,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2015-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),126.2,125.2,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2015-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),130.6,129.6,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2015-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),132.1,131.1,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2015-S1,"Average weekly total earnings, all employees",Australia,,107.9,1136.9,AUD per week,primary,"https://data.api.abs.gov.au/rest/data/ABS,AWE,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2015-S2,"Average weekly total earnings, all employees",Australia,,108.8,1145.7,AUD per week,primary,"https://data.api.abs.gov.au/rest/data/ABS,AWE,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2016-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),125.2,124.2,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2016-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),130.4,129.4,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2016-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),132.1,131.1,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2016-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),126.9,125.9,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2016-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),133,131.9,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2016-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),135.1,134,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2016-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),128.4,127.4,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2016-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),135,133.9,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2016-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),137.3,136.2,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2016-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),131.3,130.3,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2016-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),140.6,139.5,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2016-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),143.8,142.7,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2016-S1,"Average weekly total earnings, all employees",Australia,,110.2,1160.9,AUD per week,primary,"https://data.api.abs.gov.au/rest/data/ABS,AWE,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2016-S2,"Average weekly total earnings, all employees",Australia,,110.5,1163.5,AUD per week,primary,"https://data.api.abs.gov.au/rest/data/ABS,AWE,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2017-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),133.5,132.4,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2017-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),143.7,142.6,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
