financial_year_ending,visa_group,visa_group_code,migration_type,region,persons,unit,source_tier,source_url,source_retrieved_at
2017,Temporary visa - Other temporary visas,8,NOM departures,Tasmania,140,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Student other,4,NOM departures,Tasmania,110,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Temporary work (skilled),5,NOM departures,Tasmania,40,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Total,1,NOM departures,Tasmania,1100,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Visitor,6,NOM departures,Tasmania,180,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Vocational Education and Training sector,2,NOM departures,Tasmania,20,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Working Holiday,7,NOM departures,Tasmania,370,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Total,16,NOM departures,Tasmania,2360,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Australian Citizen,14,NOM arrivals,Victoria,20110,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,New Zealand Citizen (subclass 444),13,NOM arrivals,Victoria,9010,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Other Visas,17,NOM arrivals,Victoria,750,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Family,10,NOM arrivals,Victoria,9290,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Other permanent visas,15,NOM arrivals,Victoria,1900,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Skill,11,NOM arrivals,Victoria,15230,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Special Eligibility and humanitarian,12,NOM arrivals,Victoria,7220,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Total,9,NOM arrivals,Victoria,33640,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Higher education sector,3,NOM arrivals,Victoria,36150,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Other temporary visas,8,NOM arrivals,Victoria,3230,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Student other,4,NOM arrivals,Victoria,8950,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Temporary work (skilled),5,NOM arrivals,Victoria,9040,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Total,1,NOM arrivals,Victoria,96110,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Visitor,6,NOM arrivals,Victoria,22590,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Vocational Education and Training sector,2,NOM arrivals,Victoria,3900,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Working Holiday,7,NOM arrivals,Victoria,12260,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Total,16,NOM arrivals,Victoria,159630,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Australian Citizen,14,NOM departures,Victoria,22190,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,New Zealand Citizen (subclass 444),13,NOM departures,Victoria,5120,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Other Visas,17,NOM departures,Victoria,910,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Family,10,NOM departures,Victoria,1460,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Other permanent visas,15,NOM departures,Victoria,1810,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Skill,11,NOM departures,Victoria,2280,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Special Eligibility and humanitarian,12,NOM departures,Victoria,30,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Total,9,NOM departures,Victoria,5580,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Higher education sector,3,NOM departures,Victoria,8360,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Other temporary visas,8,NOM departures,Victoria,7060,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Student other,4,NOM departures,Victoria,2700,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Temporary work (skilled),5,NOM departures,Victoria,3450,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Total,1,NOM departures,Victoria,34580,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Visitor,6,NOM departures,Victoria,4680,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Vocational Education and Training sector,2,NOM departures,Victoria,2560,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Working Holiday,7,NOM departures,Victoria,5780,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Total,16,NOM departures,Victoria,68380,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Australian Citizen,14,NOM arrivals,Western Australia,8770,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,New Zealand Citizen (subclass 444),13,NOM arrivals,Western Australia,2920,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Other Visas,17,NOM arrivals,Western Australia,670,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Family,10,NOM arrivals,Western Australia,3020,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Other permanent visas,15,NOM arrivals,Western Australia,760,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Skill,11,NOM arrivals,Western Australia,4540,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Special Eligibility and humanitarian,12,NOM arrivals,Western Australia,990,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Total,9,NOM arrivals,Western Australia,9310,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Higher education sector,3,NOM arrivals,Western Australia,6550,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Other temporary visas,8,NOM arrivals,Western Australia,910,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Student other,4,NOM arrivals,Western Australia,2030,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Temporary work (skilled),5,NOM arrivals,Western Australia,3120,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Total,1,NOM arrivals,Western Australia,26970,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Visitor,6,NOM arrivals,Western Australia,7550,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Vocational Education and Training sector,2,NOM arrivals,Western Australia,1460,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Working Holiday,7,NOM arrivals,Western Australia,5360,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Total,16,NOM arrivals,Western Australia,48640,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Australian Citizen,14,NOM departures,Western Australia,11730,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,New Zealand Citizen (subclass 444),13,NOM departures,Western Australia,5200,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Other Visas,17,NOM departures,Western Australia,750,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Family,10,NOM departures,Western Australia,710,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Other permanent visas,15,NOM departures,Western Australia,960,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Skill,11,NOM departures,Western Australia,1510,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Special Eligibility and humanitarian,12,NOM departures,Western Australia,10,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Permanent visa - Total,9,NOM departures,Western Australia,3190,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Higher education sector,3,NOM departures,Western Australia,1680,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Other temporary visas,8,NOM departures,Western Australia,2810,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Student other,4,NOM departures,Western Australia,1110,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Temporary work (skilled),5,NOM departures,Western Australia,2940,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Total,1,NOM departures,Western Australia,15770,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Visitor,6,NOM departures,Western Australia,1950,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Vocational Education and Training sector,2,NOM departures,Western Australia,1050,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Temporary visa - Working Holiday,7,NOM departures,Western Australia,4240,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2017,Total,16,NOM departures,Western Australia,36630,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Australian Citizen,14,NOM arrivals,Australia,77160,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,New Zealand Citizen (subclass 444),13,NOM arrivals,Australia,30380,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Other Visas,17,NOM arrivals,Australia,4770,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Permanent visa - Family,10,NOM arrivals,Australia,26280,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Permanent visa - Other permanent visas,15,NOM arrivals,Australia,6130,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Permanent visa - Skill,11,NOM arrivals,Australia,43320,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Permanent visa - Special Eligibility and humanitarian,12,NOM arrivals,Australia,12190,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Permanent visa - Total,9,NOM arrivals,Australia,87910,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Temporary visa - Higher education sector,3,NOM arrivals,Australia,106520,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Temporary visa - Other temporary visas,8,NOM arrivals,Australia,12320,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Temporary visa - Student other,4,NOM arrivals,Australia,31460,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Temporary visa - Temporary work (skilled),5,NOM arrivals,Australia,26940,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Temporary visa - Total,1,NOM arrivals,Australia,327300,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Temporary visa - Visitor,6,NOM arrivals,Australia,79430,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Temporary visa - Vocational Education and Training sector,2,NOM arrivals,Australia,19650,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Temporary visa - Working Holiday,7,NOM arrivals,Australia,50990,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Total,16,NOM arrivals,Australia,527520,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Australian Citizen,14,NOM departures,Australia,89770,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,New Zealand Citizen (subclass 444),13,NOM departures,Australia,22910,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Other Visas,17,NOM departures,Australia,12480,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Permanent visa - Family,10,NOM departures,Australia,5560,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Permanent visa - Other permanent visas,15,NOM departures,Australia,7110,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Permanent visa - Skill,11,NOM departures,Australia,7770,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Permanent visa - Special Eligibility and humanitarian,12,NOM departures,Australia,150,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Permanent visa - Total,9,NOM departures,Australia,20590,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Temporary visa - Higher education sector,3,NOM departures,Australia,31150,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Temporary visa - Other temporary visas,8,NOM departures,Australia,29310,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Temporary visa - Student other,4,NOM departures,Australia,9110,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Temporary visa - Temporary work (skilled),5,NOM departures,Australia,15500,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Temporary visa - Total,1,NOM departures,Australia,143550,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Temporary visa - Visitor,6,NOM departures,Australia,20830,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Temporary visa - Vocational Education and Training sector,2,NOM departures,Australia,15150,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Temporary visa - Working Holiday,7,NOM departures,Australia,22500,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Total,16,NOM departures,Australia,289300,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Australian Citizen,14,NOM arrivals,Australian Capital Territory,2400,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,New Zealand Citizen (subclass 444),13,NOM arrivals,Australian Capital Territory,320,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Other Visas,17,NOM arrivals,Australian Capital Territory,200,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Permanent visa - Family,10,NOM arrivals,Australian Capital Territory,460,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Permanent visa - Other permanent visas,15,NOM arrivals,Australian Capital Territory,80,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Permanent visa - Skill,11,NOM arrivals,Australian Capital Territory,670,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Permanent visa - Special Eligibility and humanitarian,12,NOM arrivals,Australian Capital Territory,190,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
2018,Permanent visa - Total,9,NOM arrivals,Australian Capital Territory,1390,Persons,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv",2026-08-25T07:40:28.773Z
