census_year,country_of_birth,country_code,region,persons,source_tier,source_url,source_retrieved_at
1996,Brunei Darussalam,5201,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Bulgaria,3203,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Burkina Faso,9102,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Burundi,9203,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Cabo Verde,9104,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Cambodia,5102,Australia,24080,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Cameroon,9103,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Canada,8102,Australia,27970,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Cayman Islands,8406,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Central African Republic,9105,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Chad,9106,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Chile,8204,Australia,26850,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Chilean Antarctic Territory,1605,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,China (excludes SARs and Taiwan),6101,Australia,118640,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Colombia,8205,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Comoros,9204,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,"Congo, Democratic Republic of",9108,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,"Congo, Republic of",9107,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Cook Islands,1501,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Costa Rica,8302,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Cote d'Ivoire,9111,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Croatia,3204,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Cuba,8407,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Curacao,8434,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Cyprus,3205,Australia,23310,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Czechia,3302,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Denmark,2401,Australia,9740,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Djibouti,9205,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Dominica,8408,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Dominican Republic,8411,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Ecuador,8206,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,Egypt,4102,Australia,38610,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,El Salvador,8303,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
1996,England,2102,Australia,0,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T10:28:10.104Z
