year,country_iso3,country_name,country_role,indicator,indicator_code,value,measure_note,source_tier,source_url,source_retrieved_at
2015,VNM,Viet Nam,origin,migrant_stock,SM.POP.TOTL,101386,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/VNM/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,VNM,Viet Nam,origin,migrant_stock,SM.POP.TOTL,200639,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/VNM/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,VNM,Viet Nam,origin,migrant_stock,SM.POP.TOTL,326418,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/VNM/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,ZAF,South Africa,origin,migrant_stock,SM.POP.TOTL,1006597,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/ZAF/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,ZAF,South Africa,origin,migrant_stock,SM.POP.TOTL,997703,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/ZAF/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,ZAF,South Africa,origin,migrant_stock,SM.POP.TOTL,1513855,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/ZAF/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,ZAF,South Africa,origin,migrant_stock,SM.POP.TOTL,2274466,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/ZAF/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,ZAF,South Africa,origin,migrant_stock,SM.POP.TOTL,3162564,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/ZAF/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,ZAF,South Africa,origin,migrant_stock,SM.POP.TOTL,2639076,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/ZAF/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,ZAF,South Africa,origin,migrant_stock,SM.POP.TOTL,2631100,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/ZAF/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,52505,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1996,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,4072,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1997,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,-21215,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1998,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,7380,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1999,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,-32400,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,-1025973,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2001,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,-212872,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2002,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,860349,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2003,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,247317,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2004,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,-269194,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,250971,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2006,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,57673,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2007,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,-851298,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2008,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,215753,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2009,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,-60602,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,-167460,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2011,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,384486,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2012,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,68628,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2013,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,18119,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2014,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,233913,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,-286314,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2016,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,-143049,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2017,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,-71491,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2018,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,-36753,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2019,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,9159,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,143634,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2021,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,-548784,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2022,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,-647402,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2023,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,-48958,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,AFG,Afghanistan,origin,net_migration,SM.POP.NETM,-44089,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,AUS,Australia,reference,net_migration,SM.POP.NETM,80456,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1996,AUS,Australia,reference,net_migration,SM.POP.NETM,82965,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1997,AUS,Australia,reference,net_migration,SM.POP.NETM,67661,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1998,AUS,Australia,reference,net_migration,SM.POP.NETM,81310,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1999,AUS,Australia,reference,net_migration,SM.POP.NETM,92900,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,AUS,Australia,reference,net_migration,SM.POP.NETM,111186,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2001,AUS,Australia,reference,net_migration,SM.POP.NETM,117552,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2002,AUS,Australia,reference,net_migration,SM.POP.NETM,108852,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2003,AUS,Australia,reference,net_migration,SM.POP.NETM,104437,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2004,AUS,Australia,reference,net_migration,SM.POP.NETM,110072,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,AUS,Australia,reference,net_migration,SM.POP.NETM,131371,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2006,AUS,Australia,reference,net_migration,SM.POP.NETM,191985,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2007,AUS,Australia,reference,net_migration,SM.POP.NETM,249873,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2008,AUS,Australia,reference,net_migration,SM.POP.NETM,275773,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2009,AUS,Australia,reference,net_migration,SM.POP.NETM,235628,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,AUS,Australia,reference,net_migration,SM.POP.NETM,166752,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2011,AUS,Australia,reference,net_migration,SM.POP.NETM,197657,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2012,AUS,Australia,reference,net_migration,SM.POP.NETM,235776,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2013,AUS,Australia,reference,net_migration,SM.POP.NETM,215823,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2014,AUS,Australia,reference,net_migration,SM.POP.NETM,200177,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,AUS,Australia,reference,net_migration,SM.POP.NETM,212350,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2016,AUS,Australia,reference,net_migration,SM.POP.NETM,254648,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2017,AUS,Australia,reference,net_migration,SM.POP.NETM,255023,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2018,AUS,Australia,reference,net_migration,SM.POP.NETM,226412,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2019,AUS,Australia,reference,net_migration,SM.POP.NETM,207142,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,AUS,Australia,reference,net_migration,SM.POP.NETM,44447,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2021,AUS,Australia,reference,net_migration,SM.POP.NETM,116768,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2022,AUS,Australia,reference,net_migration,SM.POP.NETM,140972,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2023,AUS,Australia,reference,net_migration,SM.POP.NETM,140232,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,AUS,Australia,reference,net_migration,SM.POP.NETM,138510,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-231304,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1996,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-254239,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1997,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-273442,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1998,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-286966,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1999,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-286256,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-512422,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2001,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-737740,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2002,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-819909,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2003,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-896335,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2004,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-970264,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-1036635,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2006,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-1091865,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2007,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-1133553,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2008,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-1158420,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2009,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-1150194,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-1113727,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2011,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-848910,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2012,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-829875,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2013,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-862944,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2014,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-889222,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-909223,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2016,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-918770,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2017,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-1037176,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2018,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-1029069,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2019,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-1016796,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-1002522,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2021,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-994722,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2022,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-549990,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2023,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-549918,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,BGD,Bangladesh,origin,net_migration,SM.POP.NETM,-473362,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,CAN,Canada,reference,net_migration,SM.POP.NETM,141818,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CAN/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1996,CAN,Canada,reference,net_migration,SM.POP.NETM,154553,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CAN/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1997,CAN,Canada,reference,net_migration,SM.POP.NETM,144678,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CAN/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1998,CAN,Canada,reference,net_migration,SM.POP.NETM,142346,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CAN/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1999,CAN,Canada,reference,net_migration,SM.POP.NETM,158342,"Net migration (arrivals minus departures), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CAN/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
