period,household_type,household_type_code,index_group,index_number,source_tier,source_url,source_retrieved_at
2013-Q2,Self-funded retiree households,P4,All groups,71.98,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2013-Q2,Pensioner and beneficiary households,PBLCI,All groups,70.85,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2013-Q3,Employee households,P1,All groups,72.25,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2013-Q3,Age pensioner households,P2,All groups,72.57,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2013-Q3,Other government transfer recipient households,P3,All groups,70.75,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2013-Q3,Self-funded retiree households,P4,All groups,73.08,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2013-Q3,Pensioner and beneficiary households,PBLCI,All groups,71.64,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2013-Q4,Employee households,P1,All groups,72.52,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2013-Q4,Age pensioner households,P2,All groups,72.96,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2013-Q4,Other government transfer recipient households,P3,All groups,71.14,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2013-Q4,Self-funded retiree households,P4,All groups,73.76,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
